In total 4000 tracked data
99.95 collected 0
final reward is -1.1855741250046994
simulation end at 7000
         12866696 function calls (12852007 primitive calls) in 12.440 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3519    0.001    0.000    0.001    0.000 version.py:420(_parse_letter_version)
        1    0.000    0.000    0.001    0.001 efficiency_measures.py:1(<module>)
     3756    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
  108/107    0.000    0.000    0.001    0.000 __init__.py:235(wrapper)
        1    0.000    0.000    0.001    0.001 __init__.py:2414(EntryPoint)
  262/217    0.000    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
      373    0.000    0.000    0.001    0.000 inspect.py:179(iscoroutinefunction)
      663    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.001    0.001 joint_degree_seq.py:1(<module>)
      212    0.001    0.000    0.001    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.001    0.001 graphviews.py:25(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:3137(parse)
       82    0.000    0.000    0.001    0.000 pyparsing.py:3719(__init__)
        2    0.000    0.000    0.001    0.000 __init__.py:3065(parse_requirements)
        1    0.000    0.000    0.001    0.001 connected.py:1(<module>)
     1868    0.001    0.000    0.001    0.000 decorator.py:214(<genexpr>)
      155    0.000    0.000    0.001    0.000 warnings.py:181(_add_filter)
        1    0.000    0.000    0.001    0.001 __init__.py:3092(__init__)
        1    0.000    0.000    0.001    0.001 atlas.py:3(<module>)
       30    0.000    0.000    0.001    0.000 getlimits.py:41(<lambda>)
        1    0.000    0.000    0.001    0.001 pyplot.py:1872(get_plot_commands)
        1    0.000    0.000    0.001    0.001 offsetbox.py:23(<module>)
        1    0.000    0.000    0.001    0.001 release.py:30(<module>)
       45    0.000    0.000    0.001    0.000 posixpath.py:168(islink)
        1    0.000    0.000    0.001    0.001 _methods.py:5(<module>)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:2(polyfit)
       89    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
        1    0.000    0.000    0.001    0.001 polynomial.py:429(polyfit)
       31    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(any)
        1    0.000    0.000    0.001    0.001 _realtransforms.py:1(<module>)
      282    0.000    0.000    0.001    0.000 function_base.py:437(_add_docstring)
        1    0.000    0.000    0.001    0.001 requirements.py:95(__init__)
        1    0.000    0.000    0.001    0.001 clique.py:9(<module>)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
       38    0.000    0.000    0.001    0.000 typing.py:1202(_alias)
        1    0.000    0.000    0.001    0.001 version.py:93(StrictVersion)
        1    0.000    0.000    0.001    0.001 asyn_fluid.py:1(<module>)
        1    0.000    0.000    0.001    0.001 release.py:128(get_info)
     23/7    0.000    0.000    0.001    0.000 pyparsing.py:4485(streamline)
        1    0.000    0.000    0.001    0.001 markers.py:127(<module>)
      208    0.000    0.000    0.001    0.000 sre_parse.py:295(_class_escape)
      120    0.000    0.000    0.001    0.000 pyparsing.py:2368(__init__)
        1    0.000    0.000    0.001    0.001 greedy_coloring.py:3(<module>)
      188    0.001    0.000    0.001    0.000 colors.py:850(<listcomp>)
        1    0.000    0.000    0.001    0.001 bethehessianmatrix.py:1(<module>)
      881    0.000    0.000    0.001    0.000 copyreg.py:87(__newobj__)
        1    0.000    0.000    0.001    0.001 geo.py:1(<module>)
        1    0.000    0.000    0.001    0.001 current_flow_closeness.py:1(<module>)
       14    0.000    0.000    0.001    0.000 typing.py:749(__getitem__)
       44    0.000    0.000    0.001    0.000 core.py:138(get_object_signature)
        1    0.000    0.000    0.001    0.001 mis.py:4(<module>)
      121    0.000    0.000    0.001    0.000 typing.py:113(_type_check)
     1417    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      140    0.000    0.000    0.001    0.000 _internal.py:781(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.001    0.001 attracting.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pajek.py:15(<module>)
      732    0.000    0.000    0.001    0.000 typing.py:595(_is_dunder)
      645    0.000    0.000    0.001    0.000 inspect.py:72(isclass)
        1    0.001    0.001    0.001    0.001 context.py:225(DefaultContext)
        1    0.000    0.000    0.000    0.000 mlab.py:54(<module>)
        1    0.000    0.000    0.000    0.000 current_flow_betweenness_subset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stoerwagner.py:3(<module>)
        1    0.000    0.000    0.000    0.000 recognition.py:74(<module>)
        1    0.000    0.000    0.000    0.000 nx_pydot.py:15(<module>)
        6    0.000    0.000    0.000    0.000 rcsetup.py:340(validate_color_or_inherit)
        1    0.000    0.000    0.000    0.000 weakly_connected.py:1(<module>)
    77/62    0.000    0.000    0.000    0.000 pyparsing.py:3434(__str__)
       45    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
       19    0.000    0.000    0.000    0.000 path.py:98(__init__)
        1    0.000    0.000    0.000    0.000 coding.py:10(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:1204(setResultsName)
        1    0.000    0.000    0.000    0.000 swap.py:2(<module>)
       69    0.000    0.000    0.000    0.000 pyparsing.py:2412(__init__)
       31    0.000    0.000    0.000    0.000 fromnumeric.py:2249(any)
        1    0.000    0.000    0.000    0.000 gpickle.py:22(<module>)
      135    0.000    0.000    0.000    0.000 pyplot.py:1885(<genexpr>)
       32    0.000    0.000    0.000    0.000 contextlib.py:116(__exit__)
       19    0.000    0.000    0.000    0.000 typing.py:180(_subs_tvars)
        1    0.000    0.000    0.000    0.000 richclub.py:1(<module>)
       15    0.000    0.000    0.000    0.000 enum.py:182(<setcomp>)
        1    0.000    0.000    0.000    0.000 katz.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hmn.py:8(<module>)
        1    0.000    0.000    0.000    0.000 nx_yaml.py:15(<module>)
        1    0.000    0.000    0.000    0.000 artist.py:1236(ArtistInspector)
        1    0.000    0.000    0.000    0.000 line.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vf2userfunc.py:32(<module>)
        1    0.000    0.000    0.000    0.000 label_propagation.py:3(<module>)
        3    0.000    0.000    0.000    0.000 utils.py:1(<module>)
      803    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
    87/79    0.000    0.000    0.000    0.000 pyparsing.py:3576(__str__)
        1    0.000    0.000    0.000    0.000 reciprocity.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mycielski.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:569(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
      819    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        1    0.000    0.000    0.000    0.000 __init__.py:328(<listcomp>)
        1    0.000    0.000    0.000    0.000 degree_alg.py:1(<module>)
       89    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 markers.py:145(MarkerStyle)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4681(originalTextFor)
       35    0.000    0.000    0.000    0.000 transforms.py:1251(__init_subclass__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1473(_array_str_implementation)
       26    0.000    0.000    0.000    0.000 core.py:6750(__init__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2863(__init__)
       13    0.000    0.000    0.000    0.000 deprecation.py:277(_rename_parameter)
      988    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 boykovkolmogorov.py:3(<module>)
      224    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     3829    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      107    0.000    0.000    0.000    0.000 inspect.py:525(_findclass)
       12    0.000    0.000    0.000    0.000 typing.py:765(__getitem_inner__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:5(<module>)
       87    0.000    0.000    0.000    0.000 docstring.py:38(__call__)
       27    0.000    0.000    0.000    0.000 pyparsing.py:5098(__init__)
        1    0.000    0.000    0.000    0.000 store.py:10(<module>)
      836    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       73    0.000    0.000    0.000    0.000 rcsetup.py:90(<listcomp>)
        1    0.000    0.000    0.000    0.000 duplication.py:7(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6755(getdoc)
       15    0.000    0.000    0.000    0.000 arrayprint.py:461(wrapper)
     1586    0.000    0.000    0.000    0.000 {method 'zfill' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 non_randomness.py:2(<module>)
        1    0.000    0.000    0.000    0.000 result.py:1(<module>)
        2    0.000    0.000    0.000    0.000 tokenize.py:443(open)
        2    0.000    0.000    0.000    0.000 sysconfig.py:100(_safe_realpath)
        1    0.000    0.000    0.000    0.000 __init__.py:11(<module>)
     1312    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
     1006    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 correlation.py:2(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
      757    0.000    0.000    0.000    0.000 __init__.py:907(<lambda>)
        1    0.000    0.000    0.000    0.000 reportviews.py:84(<module>)
      758    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
      184    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
     3316    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        3    0.000    0.000    0.000    0.000 typing.py:1366(__new__)
      716    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        6    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
     3303    0.000    0.000    0.000    0.000 inspect.py:2529(kind)
        4    0.000    0.000    0.000    0.000 __init__.py:590(gen_candidates)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:628(Axis)
        1    0.000    0.000    0.000    0.000 __init__.py:352(_macos_vers)
        1    0.000    0.000    0.000    0.000 quiver.py:15(<module>)
       52    0.000    0.000    0.000    0.000 core.py:895(__init__)
        1    0.000    0.000    0.000    0.000 platform.py:603(mac_ver)
        1    0.000    0.000    0.000    0.000 platform.py:581(_mac_ver_xml)
        1    0.000    0.000    0.000    0.000 chains.py:1(<module>)
      175    0.000    0.000    0.000    0.000 warnings.py:470(__enter__)
      898    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      546    0.000    0.000    0.000    0.000 __init__.py:1929(__init__)
        1    0.000    0.000    0.000    0.000 Topology.py:274(_build_sample_executors)
       11    0.000    0.000    0.000    0.000 utils.py:74(__call__)
       76    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1466(_guarded_repr_or_str)
        1    0.000    0.000    0.000    0.000 group.py:1(<module>)
      814    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
       83    0.000    0.000    0.000    0.000 pyparsing.py:2828(__init__)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
       27    0.000    0.000    0.000    0.000 pathlib.py:523(_select_from)
        1    0.000    0.000    0.000    0.000 distance_regular.py:5(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
       14    0.000    0.000    0.000    0.000 pyparsing.py:2026(__call__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:917(<dictcomp>)
        1    0.000    0.000    0.000    0.000 selectors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:3(<module>)
     1194    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       23    0.000    0.000    0.000    0.000 pathlib.py:1024(__new__)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nx_agraph.py:17(<module>)
       38    0.000    0.000    0.000    0.000 pyparsing.py:4230(__init__)
        1    0.000    0.000    0.000    0.000 pkgutil.py:503(extend_path)
        1    0.000    0.000    0.000    0.000 Topology.py:227(build_executors)
        1    0.000    0.000    0.000    0.000 _base.py:422(_AxesBase)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        3    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        1    0.000    0.000    0.000    0.000 tree_isomorphism.py:19(<module>)
       28    0.000    0.000    0.000    0.000 inspect.py:3035(__str__)
      190    0.000    0.000    0.000    0.000 pyplot.py:82(_copy_docstring_and_deprecators)
        1    0.000    0.000    0.000    0.000 networksimplex.py:3(<module>)
        1    0.000    0.000    0.000    0.000 quality.py:4(<module>)
       34    0.000    0.000    0.000    0.000 inspect.py:1799(_signature_bound_method)
        1    0.000    0.000    0.000    0.000 pagerank_alg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1672(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 copy.py:49(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-121>:1(_random_state)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:22(Collection)
        1    0.000    0.000    0.000    0.000 colorbar.py:321(ColorbarBase)
        1    0.000    0.000    0.000    0.000 lgmres.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
      199    0.000    0.000    0.000    0.000 enum.py:381(__setattr__)
     2930    0.000    0.000    0.000    0.000 inspect.py:2521(default)
       11    0.000    0.000    0.000    0.000 utils.py:147(deprecate)
        1    0.000    0.000    0.000    0.000 gomory_hu.py:3(<module>)
        1    0.000    0.000    0.000    0.000 simple_paths.py:1(<module>)
        1    0.000    0.000    0.000    0.000 algebraicconnectivity.py:86(_CholeskySolver)
       33    0.000    0.000    0.000    0.000 pathlib.py:649(_parse_args)
      282    0.000    0.000    0.000    0.000 function_base.py:419(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 legend_handler.py:24(<module>)
      397    0.000    0.000    0.000    0.000 pkgutil.py:405(get_importer)
        8    0.000    0.000    0.000    0.000 _version.py:114(_compare)
      142    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 difflib.py:27(<module>)
     1623    0.000    0.000    0.000    0.000 version.py:490(<lambda>)
       25    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
        1    0.000    0.000    0.000    0.000 cographs.py:13(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-647>:1(_open_file)
        1    0.000    0.000    0.000    0.000 __init__.py:2995(DistInfoDistribution)
        3    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(_held_figure)
        4    0.000    0.000    0.000    0.000 core.py:115(doc_note)
        1    0.000    0.000    0.000    0.000 <decorator-gen-645>:1(_open_file)
        1    0.000    0.000    0.000    0.000 stochastic.py:4(<module>)
       31    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
        1    0.000    0.000    0.000    0.000 lattice.py:14(<module>)
       42    0.000    0.000    0.000    0.000 pyparsing.py:1313(wrapper)
        1    0.000    0.000    0.000    0.000 zipfile.py:5(<module>)
      9/3    0.000    0.000    0.000    0.000 pyparsing.py:4243(streamline)
        1    0.000    0.000    0.000    0.000 eigenvector.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:1342(_make_nmtuple)
        1    0.000    0.000    0.000    0.000 capacityscaling.py:3(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:456(_get_config_or_cache_dir)
       16    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
       38    0.000    0.000    0.000    0.000 posixpath.py:232(expanduser)
      448    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.000    0.000 artist.py:60(Artist)
       71    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
    58/20    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
       23    0.000    0.000    0.000    0.000 pathlib.py:669(_from_parts)
        1    0.000    0.000    0.000    0.000 patches.py:2812(ArrowStyle)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:554(__init__)
        1    0.000    0.000    0.000    0.000 isoparser.py:9(<module>)
        1    0.000    0.000    0.000    0.000 core.py:39(BoundClass)
       28    0.000    0.000    0.000    0.000 functools.py:492(decorating_function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-171>:1(_not_implemented_for)
       27    0.000    0.000    0.000    0.000 artist.py:20(allow_rasterization)
    58/20    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       37    0.000    0.000    0.000    0.000 pyparsing.py:3339(parseImpl)
        1    0.000    0.000    0.000    0.000 trees.py:1(<module>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3353(setResultsName)
  135/130    0.000    0.000    0.000    0.000 pyparsing.py:372(__init__)
        1    0.000    0.000    0.000    0.000 internet_as_graphs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:1087(SubplotTool)
        3    0.000    0.000    0.000    0.000 Topology.py:217(create_bolts)
        1    0.000    0.000    0.000    0.000 Topology.py:267(_build_sample_machines)
        1    0.000    0.000    0.000    0.000 coreviews.py:2(<module>)
        1    0.000    0.000    0.000    0.000 base.py:134(BaseResource)
        1    0.000    0.000    0.000    0.000 convert_matrix.py:23(<module>)
       13    0.000    0.000    0.000    0.000 enum.py:835(__or__)
       59    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        1    0.000    0.000    0.000    0.000 leda.py:10(<module>)
      306    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      175    0.000    0.000    0.000    0.000 warnings.py:489(__exit__)
        4    0.000    0.000    0.000    0.000 re.py:207(split)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6709(add_newdoc_for_scalar_type)
       32    0.000    0.000    0.000    0.000 rcsetup.py:925(<genexpr>)
        1    0.000    0.000    0.000    0.000 random_clustered.py:2(<module>)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2215(__mul__)
       36    0.000    0.000    0.000    0.000 pyparsing.py:2870(__init__)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
     1173    0.000    0.000    0.000    0.000 version.py:461(_parse_local_version)
        1    0.000    0.000    0.000    0.000 rrule.py:7(<module>)
        9    0.000    0.000    0.000    0.000 pathlib.py:1083(home)
        1    0.000    0.000    0.000    0.000 lgc.py:8(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:486(get_configdir)
       16    0.000    0.000    0.000    0.000 pyparsing.py:2292(__or__)
        1    0.000    0.000    0.000    0.000 decomposition.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:34(Tick)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
      384    0.000    0.000    0.000    0.000 function_base.py:244(iterable)
        1    0.000    0.000    0.000    0.000 __init__.py:746(copy)
       31    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        1    0.000    0.000    0.000    0.000 closeness.py:3(<module>)
        1    0.000    0.000    0.000    0.000 kcomponents.py:3(<module>)
        1    0.000    0.000    0.000    0.000 rcsetup.py:1504(<dictcomp>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(lstsq)
        1    0.000    0.000    0.000    0.000 __init__.py:747(<dictcomp>)
       14    0.000    0.000    0.000    0.000 abc.py:130(register)
        1    0.000    0.000    0.000    0.000 scale.py:670(_get_scale_docs)
        1    0.000    0.000    0.000    0.000 polar.py:776(PolarAxes)
      170    0.000    0.000    0.000    0.000 pyparsing.py:3439(<genexpr>)
      263    0.000    0.000    0.000    0.000 __init__.py:653(__iter__)
      537    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 linalg.py:2170(lstsq)
        1    0.000    0.000    0.000    0.000 dviread.py:185(Dvi)
        1    0.000    0.000    0.000    0.000 matching.py:38(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-735>:1(_random_state)
      750    0.000    0.000    0.000    0.000 rcsetup.py:234(validator)
       55    0.000    0.000    0.000    0.000 inspect.py:2533(replace)
       32    0.000    0.000    0.000    0.000 __init__.py:1267(_fixupParents)
      224    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
        1    0.000    0.000    0.000    0.000 distance_measures.py:1(<module>)
      126    0.000    0.000    0.000    0.000 colors.py:704(__init__)
        2    0.000    0.000    0.000    0.000 _version.py:148(__gt__)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
       17    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
        1    0.000    0.000    0.000    0.000 histograms.py:3(<module>)
       16    0.000    0.000    0.000    0.000 cycler.py:468(cycler)
       20    0.000    0.000    0.000    0.000 colors.py:929(reversed)
       40    0.000    0.000    0.000    0.000 colors.py:889(__init__)
       14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        6    0.000    0.000    0.000    0.000 deprecation.py:272(__set_name__)
       83    0.000    0.000    0.000    0.000 sre_parse.py:837(_parse_flags)
        9    0.000    0.000    0.000    0.000 Bolt.py:16(__init__)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-122>:1(_not_implemented_for)
      407    0.000    0.000    0.000    0.000 pyparsing.py:3581(<genexpr>)
      263    0.000    0.000    0.000    0.000 pyparsing.py:545(__new__)
        1    0.000    0.000    0.000    0.000 <decorator-gen-739>:1(_random_state)
       17    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
       15    0.000    0.000    0.000    0.000 enum.py:130(__prepare__)
       18    0.000    0.000    0.000    0.000 textwrap.py:465(indent)
     1260    0.000    0.000    0.000    0.000 colors.py:276(<genexpr>)
        1    0.000    0.000    0.000    0.000 euler.py:3(<module>)
        1    0.000    0.000    0.000    0.000 plistlib.py:931(load)
     1545    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
       21    0.000    0.000    0.000    0.000 deprecation.py:178(finalize)
       16    0.000    0.000    0.000    0.000 pyparsing.py:4236(__init__)
      9/8    0.000    0.000    0.000    0.000 pyparsing.py:4003(parseImpl)
       31    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
        1    0.000    0.000    0.000    0.000 backend_managers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 d_separation.py:51(<module>)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:2270(makeOptionalList)
        1    0.000    0.000    0.000    0.000 path.py:23(Path)
        1    0.000    0.000    0.000    0.000 <decorator-gen-493>:1(_not_implemented_for)
      226    0.000    0.000    0.000    0.000 rcsetup.py:150(validate_bool)
        1    0.000    0.000    0.000    0.000 mathtext.py:1925(<dictcomp>)
       35    0.000    0.000    0.000    0.000 pathlib.py:63(parse_parts)
        1    0.000    0.000    0.000    0.000 version.py:267(LooseVersion)
        1    0.000    0.000    0.000    0.000 _color_data.py:995(<dictcomp>)
      616    0.000    0.000    0.000    0.000 version.py:334(epoch)
        1    0.000    0.000    0.000    0.000 <decorator-gen-587>:1(_random_state)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
      224    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2785(NavigationToolbar2)
        1    0.000    0.000    0.000    0.000 axes3d.py:44(Axes3D)
        2    0.000    0.000    0.000    0.000 __init__.py:474(_get_data_path)
        1    0.000    0.000    0.000    0.000 dominance.py:3(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-687>:1(_open_file)
      228    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       31    0.000    0.000    0.000    0.000 _methods.py:53(_any)
        1    0.000    0.000    0.000    0.000 semiconnected.py:1(<module>)
       16    0.000    0.000    0.000    0.000 cycler.py:529(_cycler)
        1    0.000    0.000    0.000    0.000 TiffTags.py:359(_populate)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:333(get_makefile_filename)
        1    0.000    0.000    0.000    0.000 pathlib.py:453(_make_selector)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:114(_add_aliases)
        2    0.000    0.000    0.000    0.000 tokenize.py:350(detect_encoding)
       19    0.000    0.000    0.000    0.000 __init__.py:1281(_to_unmasked_float_array)
        1    0.000    0.000    0.000    0.000 pathlib.py:519(__init__)
       19    0.000    0.000    0.000    0.000 deprecation.py:373(<listcomp>)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1877(__mul__)
       31    0.000    0.000    0.000    0.000 _asarray.py:14(asarray)
        1    0.000    0.000    0.000    0.000 <decorator-gen-475>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-641>:1(_open_file)
        1    0.000    0.000    0.000    0.000 <decorator-gen-643>:1(_open_file)
        1    0.000    0.000    0.000    0.000 plistlib.py:255(parse)
      166    0.000    0.000    0.000    0.000 colors.py:521(__init__)
        1    0.000    0.000    0.000    0.000 <decorator-gen-649>:1(_open_file)
        1    0.000    0.000    0.000    0.000 pathlib.py:315(compile_pattern)
        1    0.000    0.000    0.000    0.000 <decorator-gen-393>:1(_random_state)
       42    0.000    0.000    0.000    0.000 pyparsing.py:946(copy)
        1    0.000    0.000    0.000    0.000 <decorator-gen-712>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-737>:1(_random_state)
    34/26    0.000    0.000    0.000    0.000 pyparsing.py:4086(__str__)
        1    0.000    0.000    0.000    0.000 <decorator-gen-741>:1(_open_file)
        7    0.000    0.000    0.000    0.000 typing.py:824(__class_getitem__)
        1    0.000    0.000    0.000    0.000 _osx_support.py:277(_check_for_unavailable_sdk)
        8    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1385(AnnotationBbox)
        1    0.000    0.000    0.000    0.000 sysconfig.py:516(get_path)
       28    0.000    0.000    0.000    0.000 pyparsing.py:3997(__init__)
        1    0.000    0.000    0.000    0.000 <decorator-gen-603>:1(_random_state)
       52    0.000    0.000    0.000    0.000 pyparsing.py:2826(__str__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:504(get_paths)
       25    0.000    0.000    0.000    0.000 pyparsing.py:4841(__init__)
        1    0.000    0.000    0.000    0.000 mixing.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _osx_support.py:440(get_platform_osx)
        1    0.000    0.000    0.000    0.000 second_order.py:31(<module>)
        1    0.000    0.000    0.000    0.000 moral.py:1(<module>)
        1    0.000    0.000    0.000    0.000 beamsearch.py:1(<module>)
        8    0.000    0.000    0.000    0.000 deprecation.py:231(wrapper)
       24    0.000    0.000    0.000    0.000 dviread.py:167(decorate)
        1    0.000    0.000    0.000    0.000 <decorator-gen-315>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-43>:1(_random_state)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       36    0.000    0.000    0.000    0.000 pathlib.py:719(__fspath__)
      109    0.000    0.000    0.000    0.000 typing.py:165(_collect_type_vars)
        1    0.000    0.000    0.000    0.000 <decorator-gen-725>:1(_not_implemented_for)
