In total 4000 tracked data
99.95 collected 0
final reward is -1.1855741250046994
simulation end at 7000
         12866696 function calls (12852007 primitive calls) in 12.440 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2705    0.004    0.000    0.078    0.000 re.py:273(_compile)
      715    0.002    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      814    0.001    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
  816/815    0.003    0.000    0.076    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      715    0.074    0.000    0.074    0.000 {built-in method marshal.loads}
      224    0.001    0.000    0.071    0.000 sre_compile.py:759(compile)
       11    0.001    0.000    0.070    0.006 artist.py:1386(pprint_setters)
    84019    0.055    0.000    0.070    0.000 coreviews.py:78(__getitem__)
   289224    0.067    0.000    0.067    0.000 events.py:97(triggered)
     6861    0.066    0.000    0.066    0.000 {built-in method posix.stat}
    83999    0.065    0.000    0.065    0.000 Data.py:32(perform)
        1    0.000    0.000    0.065    0.065 _axes.py:1(<module>)
    83996    0.041    0.000    0.061    0.000 base.py:64(cancel)
        1    0.000    0.000    0.060    0.060 _basic.py:5(<module>)
      715    0.059    0.000    0.059    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.059    0.059 __init__.py:82(<module>)
      373    0.002    0.000    0.058    0.000 decorator.py:224(decorate)
        1    0.000    0.000    0.058    0.058 orthogonal.py:72(<module>)
        1    0.000    0.000    0.057    0.057 __init__.py:189(<module>)
      157    0.000    0.000    0.055    0.000 re.py:234(compile)
      554    0.003    0.000    0.055    0.000 __init__.py:2576(from_location)
        1    0.000    0.000    0.054    0.054 text.py:3(<module>)
      554    0.001    0.000    0.054    0.000 __init__.py:2021(_by_version)
     2668    0.031    0.000    0.054    0.000 inspect.py:613(cleandoc)
      554    0.001    0.000    0.051    0.000 __init__.py:2027(<listcomp>)
     2387    0.003    0.000    0.050    0.000 inspect.py:594(getdoc)
        1    0.000    0.000    0.050    0.050 requirements.py:4(<module>)
     2285    0.003    0.000    0.049    0.000 version.py:48(parse)
     4931    0.003    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      747    0.007    0.000    0.048    0.000 decorator.py:162(make)
     1081    0.046    0.000    0.046    0.000 {built-in method builtins.compile}
   308364    0.046    0.000    0.046    0.000 core.py:119(active_process)
      224    0.001    0.000    0.046    0.000 sre_parse.py:913(parse)
   152898    0.045    0.000    0.046    0.000 {built-in method builtins.hasattr}
1134/1100    0.013    0.000    0.046    0.000 inspect.py:2198(_signature_from_callable)
      263    0.000    0.000    0.045    0.000 __init__.py:3269(<genexpr>)
      262    0.001    0.000    0.045    0.000 __init__.py:2774(activate)
   224523    0.044    0.000    0.044    0.000 {method 'remove' of 'list' objects}
   172247    0.044    0.000    0.044    0.000 {built-in method __new__ of type object at 0x10f6383a8}
  615/224    0.002    0.000    0.044    0.000 sre_parse.py:411(_parse_sub)
        1    0.000    0.000    0.043    0.043 multiarray.py:7(<module>)
  793/233    0.015    0.000    0.043    0.000 sre_parse.py:469(_parse)
   168038    0.042    0.000    0.042    0.000 coreviews.py:41(__init__)
        1    0.000    0.000    0.041    0.041 overrides.py:1(<module>)
        1    0.000    0.000    0.039    0.039 collections.py:10(<module>)
        3    0.000    0.000    0.037    0.012 __init__.py:57(create_module)
        3    0.000    0.000    0.037    0.012 __init__.py:35(load_module)
       12    0.002    0.000    0.036    0.003 artist.py:1337(get_setters)
      647    0.035    0.000    0.035    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.035    0.035 rcsetup.py:14(<module>)
     1747    0.001    0.000    0.035    0.000 artist.py:1356(is_alias)
      374    0.002    0.000    0.035    0.000 decorator.py:258(decorator)
      425    0.002    0.000    0.034    0.000 artist.py:1290(get_valid_values)
     1728    0.001    0.000    0.033    0.000 version.py:107(__init__)
      516    0.001    0.000    0.033    0.000 __init__.py:2763(_get_metadata)
        1    0.000    0.000    0.032    0.032 textpath.py:1(<module>)
        1    0.000    0.000    0.032    0.032 __init__.py:13(<module>)
      747    0.005    0.000    0.032    0.000 decorator.py:93(__init__)
    69495    0.031    0.000    0.032    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.032    0.032 _sketches.py:1(<module>)
        1    0.000    0.000    0.031    0.031 pyparsing.py:75(<module>)
     1728    0.011    0.000    0.031    0.000 version.py:205(_legacy_cmpkey)
        1    0.000    0.000    0.031    0.031 __init__.py:219(<module>)
        7    0.000    0.000    0.030    0.004 __init__.py:109(import_module)
        7    0.000    0.000    0.030    0.004 <frozen importlib._bootstrap>:994(_gcd_import)
      376    0.001    0.000    0.030    0.000 __init__.py:2185(_handle_ns)
      3/2    0.000    0.000    0.030    0.015 pyplot.py:216(switch_backend)
      376    0.000    0.000    0.030    0.000 __init__.py:686(__getitem__)
      262    0.001    0.000    0.029    0.000 __init__.py:2288(fixup_namespace_packages)
        4    0.000    0.000    0.028    0.007 __init__.py:2(<module>)
     2901    0.011    0.000    0.028    0.000 version.py:271(__init__)
     1071    0.011    0.000    0.028    0.000 inspect.py:2117(_signature_from_function)
        2    0.000    0.000    0.028    0.014 pyplot.py:276(backend_mod)
        1    0.000    0.000    0.027    0.027 mathtext.py:16(<module>)
       28    0.009    0.000    0.027    0.001 __init__.py:785(_rc_params_in_file)
        1    0.000    0.000    0.027    0.027 backend_macosx.py:1(<module>)
       12    0.000    0.000    0.026    0.002 artist.py:1242(__init__)
        1    0.000    0.000    0.026    0.026 fontconfig_pattern.py:6(<module>)
       12    0.001    0.000    0.026    0.002 artist.py:1262(get_aliases)
      716    0.001    0.000    0.026    0.000 inspect.py:3081(signature)
    80/65    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
       62    0.000    0.000    0.026    0.000 __init__.py:2977(_reload_version)
    42031    0.026    0.000    0.026    0.000 fromnumeric.py:71(<dictcomp>)
    80/65    0.006    0.000    0.026    0.000 {built-in method _imp.exec_dynamic}
      716    0.001    0.000    0.026    0.000 inspect.py:2829(from_callable)
       62    0.000    0.000    0.025    0.000 __init__.py:2768(_get_version)
       62    0.000    0.000    0.025    0.000 __init__.py:2546(_version_from_file)
      384    0.003    0.000    0.025    0.000 inspect.py:1089(getfullargspec)
      224    0.000    0.000    0.023    0.000 sre_compile.py:598(_code)
     2544    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        1    0.000    0.000    0.023    0.023 core.py:12(<module>)
      554    0.001    0.000    0.022    0.000 __init__.py:2563(__init__)
